post_id,video_link,account_name,comment_date,comment,commenter_username,first_seen,source
2385184255346116,https://www.facebook.com/photo?fbid=2385184042012804&set=pcb.2385184255346116,,2026-08-18,getwellsoon baby pogi praying for you di jd lalim,ニコール かなりの悪魔,2026-09-01,keyword:dengue
2385184255346116,https://www.facebook.com/photo?fbid=2385184042012804&set=pcb.2385184255346116,,2026-08-18,Be strong Mommy Yenn!!,Joy Sugh,2026-09-01,keyword:dengue
2385184255346116,https://www.facebook.com/photo?fbid=2385184042012804&set=pcb.2385184255346116,,2026-08-18,"Get well soon, Abunjing. Praying for your fast recovery and complete healing. I've been there too when i was 5 years old, dili jud lalim ma dengue. Fight fight, jaze.",Kate Dela Cuesta,2026-09-01,keyword:dengue
2385184255346116,https://www.facebook.com/photo?fbid=2385184042012804&set=pcb.2385184255346116,,2026-08-18,Get well soon baby praying fast healing,Gie Severo,2026-09-01,keyword:dengue
2385184255346116,https://www.facebook.com/photo?fbid=2385184042012804&set=pcb.2385184255346116,,2026-08-18,Halaaa get well soon langga! Praying for Fast Recovery and complete healing.,Menrose Añasco-Dunay,2026-09-01,keyword:dengue
2385184255346116,https://www.facebook.com/photo?fbid=2385184042012804&set=pcb.2385184255346116,,2026-08-18,Get well soon jazey boy!,Jra Diaz,2026-09-01,keyword:dengue
2385184255346116,https://www.facebook.com/photo?fbid=2385184042012804&set=pcb.2385184255346116,,2026-08-18,Get well soon baby,Lucia Alviola,2026-09-01,keyword:dengue
2385184255346116,https://www.facebook.com/photo?fbid=2385184042012804&set=pcb.2385184255346116,,2026-08-18,Get well soon bb pogi!,Maria Ignacio,2026-09-01,keyword:dengue
2385184255346116,https://www.facebook.com/photo?fbid=2385184042012804&set=pcb.2385184255346116,,2026-08-18,Krizhia Gayle,Kaii Karedad,2026-09-01,keyword:dengue
1063931243061003,https://www.facebook.com/photo?fbid=1063931243061003&set=a.129464503174353,,2026-08-30,,Kathryn Sienna,2026-09-01,keyword:dengue
1063931243061003,https://www.facebook.com/photo?fbid=1063931243061003&set=a.129464503174353,,2026-08-28,My husband is a type 0+ maam . Consistent blood donor and he is working in mandaue chonghua pud . I will relay this to him .,Ruth Jean Diaz-Delima,2026-09-01,keyword:dengue
1063931243061003,https://www.facebook.com/photo?fbid=1063931243061003&set=a.129464503174353,,2026-08-28,Ruth Jean Diaz-Delima pls mam tnx,Kathryn Sienna,2026-09-01,keyword:dengue
1063931243061003,https://www.facebook.com/photo?fbid=1063931243061003&set=a.129464503174353,,2026-08-28,Hi nana! Try igco milk nasa mercury drug lang. 1 sachet= 1/4 cup of mineral water no need na for hot water. You can ask the pharmcist if ika pila siya imnon kay I forgot na.,Kristelle Aranzado Rosario,2026-09-01,keyword:dengue
1063931243061003,https://www.facebook.com/photo?fbid=1063931243061003&set=a.129464503174353,,2026-08-28,Kristelle Aranzado Rosario itu benar-benar susu untuk dengue,Ysha Luise,2026-09-01,keyword:dengue
1063931243061003,https://www.facebook.com/photo?fbid=1063931243061003&set=a.129464503174353,,2026-08-28,"Kristelle Aranzado Rosario same sa ako anak, igco ako ginapatake twice na dengue",Eilzel Yoj Dagani,2026-09-01,keyword:dengue
1063931243061003,https://www.facebook.com/photo?fbid=1063931243061003&set=a.129464503174353,,2026-08-28,Kathryn Sienna,Kristelle Aranzado Rosario,2026-09-01,keyword:dengue
1063931243061003,https://www.facebook.com/photo?fbid=1063931243061003&set=a.129464503174353,,2026-08-28,Kristelle Aranzado Rosario very effective po ito. IGCO Milk ang naka help sa akin since platelet din ang need ma transfuse sa akin and ang bilis tumaas ng platelet ko after consuming the IGCO Milk po.,Maria Palma Gil,2026-09-01,keyword:dengue
1063931243061003,https://www.facebook.com/photo?fbid=1063931243061003&set=a.129464503174353,,2026-08-28,Kathryn Sienna,Ediza Ermac,2026-09-01,keyword:dengue
1063931243061003,https://www.facebook.com/photo?fbid=1063931243061003&set=a.129464503174353,,2026-08-28,"Kristelle Aranzado Rosario proven and tested po totoo po Yan
...Get well soon to your husband",Vang Dals,2026-09-01,keyword:dengue
1063931243061003,https://www.facebook.com/photo?fbid=1063931243061003&set=a.129464503174353,,2026-08-28,"Kathryn Sienna kani din po naka help saako tung naa koy dengue and naa nalang sa 25 akong platelet, tung nag start ko inom nag anam anam na ug saka akong platelet. Other things I tried is Tawa tawa, gatorade and durian pero no changes until I tried this.",Ayumi Yap Laurie,2026-09-01,keyword:dengue
1063931243061003,https://www.facebook.com/photo?fbid=1063931243061003&set=a.129464503174353,,2026-08-28,"Kristelle Aranzado Rosario is this the colostrum milk? if Yes, I VOUCH FOR IT!!!! Its real +100",Rinoa Niña Asis - Ramirez,2026-09-01,keyword:dengue
1063931243061003,https://www.facebook.com/photo?fbid=1063931243061003&set=a.129464503174353,,2026-08-28,Up,Agnes Atillo Pamat - Baugbog,2026-09-01,keyword:dengue
1063931243061003,https://www.facebook.com/photo?fbid=1063931243061003&set=a.129464503174353,,2026-08-28,Kristelle Aranzado Rosario yes! Agree,Shame Hicban,2026-09-01,keyword:dengue
1063931243061003,https://www.facebook.com/photo?fbid=1063931243061003&set=a.129464503174353,,2026-08-28,Nana painom sya ng glucan..Malaki tulong eto maka pataas agad ng platelet,Mansanas Mansanas,2026-09-01,keyword:dengue
1063931243061003,https://www.facebook.com/photo?fbid=1063931243061003&set=a.129464503174353,,2026-08-28,Kathryn Sienna,Cheryl Heruela,2026-09-01,keyword:dengue
1063931243061003,https://www.facebook.com/photo?fbid=1063931243061003&set=a.129464503174353,,2026-08-28,"Mansanas Mansanas YES, PASPAS KAAU MO SAKA ANG PLATELET ANI",Ayesha Pinol,2026-09-01,keyword:dengue
1063931243061003,https://www.facebook.com/photo?fbid=1063931243061003&set=a.129464503174353,,2026-08-28,Mansanas naa ni mercury maam?,Jovelyn Alterado,2026-09-01,keyword:dengue
1063931243061003,https://www.facebook.com/photo?fbid=1063931243061003&set=a.129464503174353,,2026-08-28,Na dengue anak ko Yan painom ko 14 platelet nya.. pero kailangan pa din mag kain ka ng mag kain nalabanan mo. Tapos madami tubig.. Wala Kasi gamot sa dengue talaga.. immune system mo dapat malakas..dagdag tulong lang din glucan.,Mansanas Mansanas,2026-09-01,keyword:dengue
1063931243061003,https://www.facebook.com/photo?fbid=1063931243061003&set=a.129464503174353,,2026-08-28,"Mansanas Mansanas this Proven me for my two years old with ASD LEVEL 3 CONFINE WITH DENGUE last 2023 .. ISA rajud ka Bglugan naulian rajud dayun buyag 
 from Bukidnon Mindanao",Rom Ozirb Ortsac,2026-09-01,keyword:dengue
1063931243061003,https://www.facebook.com/photo?fbid=1063931243061003&set=a.129464503174353,,2026-08-28,"Mansanas Mansanas legit kaayo ni!!!! Mao ning giinom sakong hubby last 2022 nagka dengue pod sya 8 nalang iyang platelet ato ayyy traumatic kaayo 
 Get well soon saimu Hubby, Maam Kathryn Sienna praying din po sa fast recovery",Ronalyn C. Juyo,2026-09-01,keyword:dengue
1063931243061003,https://www.facebook.com/photo?fbid=1063931243061003&set=a.129464503174353,,2026-08-28,Mansanas Mansanas proven and tested na effective.,Flordeliz Dueñas,2026-09-01,keyword:dengue
1063931243061003,https://www.facebook.com/photo?fbid=1063931243061003&set=a.129464503174353,,2026-08-28,"Mansanas Mansanas nakatabang jud ni sa akong anak nga na dengue last year august sad to, sig3 nako gipa inom ani.",Jenny Bantan Concepcion,2026-09-01,keyword:dengue
1063931243061003,https://www.facebook.com/photo?fbid=1063931243061003&set=a.129464503174353,,2026-08-28,Mansanas Mansanas kani proven and tested since 2002,Anne Bulawan Torralba,2026-09-01,keyword:dengue
1063931243061003,https://www.facebook.com/photo?fbid=1063931243061003&set=a.129464503174353,,2026-08-28,"Mansanas Mansanas ya, anak saya sekarang hanya 55 plaket, inilah yang membantunya Kathryn Sienna",River Tagz,2026-09-01,keyword:dengue
1063931243061003,https://www.facebook.com/photo?fbid=1063931243061003&set=a.129464503174353,,2026-08-28,Sabi Ng doctor samin Wala naman daw talagang cure sa dengue kailangan pag daanan Ng katawan lahat Ng phase/symptoms Ng dengue. Ang kailangan talaga Ng patient is well hydrated sya.,Gladys Gangay,2026-09-01,keyword:dengue
1063931243061003,https://www.facebook.com/photo?fbid=1063931243061003&set=a.129464503174353,,2026-08-28,Sana makatulong po eto sa inyo. Kadisdischarge lang po ng anak ko sa hospital dahil sa dengue. Hindi tlaga ako naniniwala sa herbal pero sinuggest eto ng kapatid dahil ginamit din ng pamangkin ko noon. Noong naconfine ang anako ayaw nya kumain at uminom dahil sobrang bitter ng panlasa nya. 1st 3 days ng fever sobrang hina nya at dehydrated pero noong pinainom ko ng vitaplus 3x a day gumana cya sa pagkain. Hindi ko alam bigla nlang cyang lumakas. Biglang taas platelet nya 4th day onwards. Usually may trend sana na pababa. Lahat ng blood test nya normal. Pinacheck pa ng Dr yung APTT kung gaano katagal lumapot ang dugo. I hope you try it para gumaling na ang mister nyo.,Emeline Emeline,2026-09-01,keyword:dengue
1063931243061003,https://www.facebook.com/photo?fbid=1063931243061003&set=a.129464503174353,,2026-08-30,Emeline Emeline yes tested and proven po sa min ito,Jack Ash Aar,2026-09-01,keyword:dengue
1063931243061003,https://www.facebook.com/photo?fbid=1063931243061003&set=a.129464503174353,,2026-08-28,Try nilagang dahon sa kamote. Effective pud sya tried this for my son (50/50 dengue),Dessa Daodaoen Paz,2026-09-01,keyword:dengue
1063931243061003,https://www.facebook.com/photo?fbid=1063931243061003&set=a.129464503174353,,2026-08-28,"Dessa Daodaoen Paz ya, warna ungu",Jemmie Ruth,2026-09-01,keyword:dengue
1718689950260636,https://www.facebook.com/photo?fbid=1718689950260636&set=a.741768154619492,,2026-08-29,"Extract rajud sa dahon papaya tambal ania, kaduha nako nadengue, naayo rako dayun. Dapat aware ania tanan.",Dasser Rohann Salinas Sanchez,2026-09-01,keyword:dengue
1718689950260636,https://www.facebook.com/photo?fbid=1718689950260636&set=a.741768154619492,,2026-08-29,Dasser Rohann Salinas Sanchez tinood jd ni,Maricar Parilla Gonzales,2026-09-01,keyword:dengue
1718689950260636,https://www.facebook.com/photo?fbid=1718689950260636&set=a.741768154619492,,2026-08-29,Dasser Rohann Salinas Sanchez unsaon man mam,Margz Varquez,2026-09-01,keyword:dengue
1718689950260636,https://www.facebook.com/photo?fbid=1718689950260636&set=a.741768154619492,,,"Margz Varquez dukdukon or any ways nga preferred para ma kuha ang extract sa papaya leaves. Ug ang pure nga extract imnun ditso, mga 1/4 cup pwede na. Pait na sya kaayo.",,2026-09-01,keyword:dengue
1718689950260636,https://www.facebook.com/photo?fbid=1718689950260636&set=a.741768154619492,,2026-08-29,Uyy nganong dengue outbreak mn nga perting inita mn sa Bohol ?,Cels La Vie,2026-09-01,keyword:dengue
1718689950260636,https://www.facebook.com/photo?fbid=1718689950260636&set=a.741768154619492,,2026-08-30,Cels La Vie bitaw unya sa katong cgi ug ulan walay dengue...lain nani dah..,Tanie Alvarez,2026-09-01,keyword:dengue
1718689950260636,https://www.facebook.com/photo?fbid=1718689950260636&set=a.741768154619492,,2026-08-31,"Cels La Vie terdapat lonjakan kasus dengue menurut catatan rumah sakit provinsi, sudah ada korban jiwa, dan orang-orang berlari untuk mendapatkan perawatan, para penyebab dengue, digigit nyamuk, nyamuk menggigit orang lain, itulah yang menyebabkan infeksi. Hanya sebagai pencegahan dari pemerintah provinsi, mari kita bersihkan lingkungan sekitar kita",Jo Del,2026-09-01,keyword:dengue
1718689950260636,https://www.facebook.com/photo?fbid=1718689950260636&set=a.741768154619492,,2026-08-29,Naglibog ko nganong naa may dengue nga perting ineta man kaau motou ko anang hit stroke kana pero ug maghisgot ug dengue binoang nana kaau,Crisol Esterado,2026-09-01,keyword:dengue
1718689950260636,https://www.facebook.com/photo?fbid=1718689950260636&set=a.741768154619492,,2026-08-29,Crisol Esterado para mahalin ang gigama nlang tambal nigosyo ghapon,Danny Ganub,2026-09-01,keyword:dengue
1718689950260636,https://www.facebook.com/photo?fbid=1718689950260636&set=a.741768154619492,,2026-08-29,Why does it take so long here to get the Q-dengue vaccines approved?,Moritz Egger,2026-09-01,keyword:dengue
1718689950260636,https://www.facebook.com/photo?fbid=1718689950260636&set=a.741768154619492,,2026-08-30,Moritz Egger 4 Ang namatay sa clinical trial ..,Christopher Garcia,2026-09-01,keyword:dengue
1718689950260636,https://www.facebook.com/photo?fbid=1718689950260636&set=a.741768154619492,,,"Christopher Garcia q-dengue no one died and it's already approved in most countries, even in Europe(where the dengue risk is very low and the criterias for approval very strict)",,2026-09-01,keyword:dengue
1718689950260636,https://www.facebook.com/photo?fbid=1718689950260636&set=a.741768154619492,,,Moritz Egger ibig Sabihin mali si Atty Doc Erwin Erfe Forensic Expert ng PAO dati?,,2026-09-01,keyword:dengue
1718689950260636,https://www.facebook.com/photo?fbid=1718689950260636&set=a.741768154619492,,,Moritz Egger https://www.facebook.com/share/p/1BkcKme3DX/,,2026-09-01,keyword:dengue
1718689950260636,https://www.facebook.com/photo?fbid=1718689950260636&set=a.741768154619492,,,"Christopher Garcia I would put more trust into big worldwide clinical trial than 1brandom persons Facebook post. If it's not safe,then why would a lot of colder western countries with no mosquitos and not much needbfor it already approved it. All clinical trials are finished already more than 2 years ago and it's approved in nearly all if SEA just not here",,2026-09-01,keyword:dengue
1718689950260636,https://www.facebook.com/photo?fbid=1718689950260636&set=a.741768154619492,,,Moritz Egger di mo pla Kilala si Atty Doc Erwin Erfe.. ok po Sige po push po ninyo kung may magpabakuna pa niyang dengue vaccine..,,2026-09-01,keyword:dengue
1718689950260636,https://www.facebook.com/photo?fbid=1718689950260636&set=a.741768154619492,,,"Christopher Garcia you talk very different topics, I am well aware who he is and his reference is about dengvaxia not q-denguenwhich is a very different, obviously very effective and safe vaccine",,2026-09-01,keyword:dengue
1718689950260636,https://www.facebook.com/photo?fbid=1718689950260636&set=a.741768154619492,,,Moritz Egger Wala po ko sinabing Dengvaxia.. Q denga Dengue vaccine po ba tinutukoy mo?,,2026-09-01,keyword:dengue
1718689950260636,https://www.facebook.com/photo?fbid=1718689950260636&set=a.741768154619492,,,"Christopher Garcia yes, by all I ever red Erwin erfebwas dedicating his work and informations to the old dengvaxia vaccine. Not the(relatively new) q-dengue. Dengvaxia was also very questionable used in the Philippines while still in clinical trial, while with Q-dengue it's the opposite and it's already approved and used all over the world since years while still not approved in the Philippines",,2026-09-01,keyword:dengue
1718689950260636,https://www.facebook.com/photo?fbid=1718689950260636&set=a.741768154619492,,,Moritz Egger QDENGA Dengue Vaccine?,,2026-09-01,keyword:dengue
1718689950260636,https://www.facebook.com/photo?fbid=1718689950260636&set=a.741768154619492,,,Moritz Egger yan din pong QDenga Ang tinutukoy niya..,,2026-09-01,keyword:dengue
1718689950260636,https://www.facebook.com/photo?fbid=1718689950260636&set=a.741768154619492,,2026-08-30,"Moritz Egger anyways guess it will not be free, here in Vietnam one shot is around $50 and you have to make it two times",Ivan Orlov,2026-09-01,keyword:dengue
1718689950260636,https://www.facebook.com/photo?fbid=1718689950260636&set=a.741768154619492,,,Ivan Orlov yes I think 70eur+- in Europebsob140eur total. But usually there are government roll outs for those who can't afford. Definitely cheaper than a few days hospitalisation with dengue and less painful,,2026-09-01,keyword:dengue
1718689950260636,https://www.facebook.com/photo?fbid=1718689950260636&set=a.741768154619492,,2026-09-01,Moritz Egger vaccine doesn’t work!,Vita Sargsyan,2026-09-01,keyword:dengue
1718689950260636,https://www.facebook.com/photo?fbid=1718689950260636&set=a.741768154619492,,,Vita Sargsyan q-dengue seems to work by every published study so far. If you say it doesn't work please send me a source link,,2026-09-01,keyword:dengue
1718689950260636,https://www.facebook.com/photo?fbid=1718689950260636&set=a.741768154619492,,,Source: The doctor at the hospital who told me the vaccines weren't working. It was my next appointment after I had dengue.,,2026-09-01,keyword:dengue
1718689950260636,https://www.facebook.com/photo?fbid=1718689950260636&set=a.741768154619492,,2026-08-28,"Gawas sa dengue outbreak, wa puy ulan...",Jade Andos,2026-09-01,keyword:dengue
1718689950260636,https://www.facebook.com/photo?fbid=1718689950260636&set=a.741768154619492,,2026-08-30,"Jade Andos Dengue mosquitoes thrive and multiply faster in hot weather because warmth accelerates their life cycle, speeds up virus development, and increases their feeding frequency.Why Heat Affects Dengue MosquitoesFaster Life Cycle: Warm temperatures shorten the time it takes for Aedes mosquitoes to grow from eggs into biting adults.Quicker Virus Development: Heat speeds up the incubation period of the dengue virus inside the mosquito, meaning it becomes infectious much sooner.More Frequent Biting: Warmer weather causes mosquitoes to feed on human blood more often to fuel their reproduction.Increased Survival: Optimal warm ranges (typically between 25°C and 30°C) boost their overall survival rates and activity.The Role of Rain and WaterWhile heat accelerates the virus, hot weather often pairs with or follows rain, creating standing water in containers, gutters, and puddles where mosquitoes lay their eggs. Even during dry spells, stored household water creates ideal artificial breeding grounds.",Roma Ollig Tariap,2026-09-01,keyword:dengue
1718689950260636,https://www.facebook.com/photo?fbid=1718689950260636&set=a.741768154619492,,2026-09-01,Allen Timcang Tancawan,Erjay Wyszyns Laseras Tancawan,2026-09-01,keyword:dengue
1718689950260636,https://www.facebook.com/photo?fbid=1718689950260636&set=a.741768154619492,,2026-08-30,Gezel Evardo Orapa Joshua Evardo Orapa James Orapa Jeneca Orapa Anna Orapa Jeno Torrejas Evardo Jaycob Orapa selalu berhati-hati di sekitar sekitar karena nyamuk sangat menakutkan.,John Leo Baba Pikit-pikit,2026-09-01,keyword:dengue
1136968869001624,https://www.facebook.com/photo?fbid=1136968415668336&set=pcb.1136968869001624,,2026-08-31,Vivalyte ready bisag dengue pwede ipa inum,Sylvia Hewings,2026-09-01,keyword:dengue
1136968869001624,https://www.facebook.com/photo?fbid=1136968415668336&set=pcb.1136968869001624,,2026-08-31,lack of Vitamin B12.,Clint Brosnan,2026-09-01,keyword:dengue
1136968869001624,https://www.facebook.com/photo?fbid=1136968415668336&set=pcb.1136968869001624,,2026-08-31,Lyn Jorah jaga diri sendiri. Gunakan losion dan matikan.,Cmer Smith,2026-09-01,keyword:dengue
1136968869001624,https://www.facebook.com/photo?fbid=1136968415668336&set=pcb.1136968869001624,,2026-08-31,Ug naa mo mandar pa vaccine para sa dengue d gyod  ko mosogot .,Abaniel Omac Celsa,2026-09-01,keyword:dengue
1136968869001624,https://www.facebook.com/photo?fbid=1136968415668336&set=pcb.1136968869001624,,2026-08-30,Alona Mae,Allen,2026-09-01,keyword:dengue
1136968869001624,https://www.facebook.com/photo?fbid=1136968415668336&set=pcb.1136968869001624,,2026-08-30,Vanessa Joy Salem Maestre-Taboklawon,Maurelyn Tumogsok,2026-09-01,keyword:dengue
1136968869001624,https://www.facebook.com/photo?fbid=1136968415668336&set=pcb.1136968869001624,,2026-08-30,Mao gimik npud,Bernard Marimon,2026-09-01,keyword:dengue
