post_id,video_link,account_name,comment_date,comment,commenter_username,first_seen,source
DZ-ULsYpB-8,https://www.instagram.com/p/DZ-ULsYpB-8/,@reels,2026-07-16,❤️❤️❤️❤️❤️,zxc.vbn.nma,2026-09-01,hashtag:#dengue
DZ-ULsYpB-8,https://www.instagram.com/p/DZ-ULsYpB-8/,@reels,2026-07-16,🔥🔥🔥🔥🔥,zxc.vbn.nma,2026-09-01,hashtag:#dengue
DZ-ULsYpB-8,https://www.instagram.com/p/DZ-ULsYpB-8/,@reels,2026-07-26,"According to the Government of India (National Centre for Vector Borne Diseases Control – NCVBDC), the officially reported dengue burden has risen significantly over the past few years. In 2024, around 232,425 cases are reported officially.
Collectively we should fight against Dengue. It's a life threatening disease. We need more awareness on effective pest control and fogging technique for outdoors. Housing Societies, hotels, hospitals, school, colleges and local bodies should do effective fogging for mosquito control.",srgardenmart,2026-09-01,hashtag:#dengue
DaNVP8pEdgo,https://www.instagram.com/p/DaNVP8pEdgo/,@reels,2026-07-23,❤️🔥,ujwal_gowdax,2026-09-01,hashtag:#dengue
DaNVP8pEdgo,https://www.instagram.com/p/DaNVP8pEdgo/,@reels,2026-08-22,😮,bigra_shazada_999,2026-09-01,hashtag:#dengue
DaNVP8pEdgo,https://www.instagram.com/p/DaNVP8pEdgo/,@reels,2026-07-06,Pdf,_rainb_ow2006,2026-09-01,hashtag:#dengue
DaNVP8pEdgo,https://www.instagram.com/p/DaNVP8pEdgo/,@reels,2026-06-30,Please create lesson plan on CPR,abhishektejkogila,2026-09-01,hashtag:#dengue
DaNVP8pEdgo,https://www.instagram.com/p/DaNVP8pEdgo/,@reels,2026-07-05,"Care plan of surgical,madical, emergency",ll_haramy_girl_ll,2026-09-01,hashtag:#dengue
DaNVP8pEdgo,https://www.instagram.com/p/DaNVP8pEdgo/,@reels,2026-07-03,Pdf,qasimgondal8,2026-09-01,hashtag:#dengue
DaNVP8pEdgo,https://www.instagram.com/p/DaNVP8pEdgo/,@reels,2026-07-02,Care plane on PPH,____pramee____,2026-09-01,hashtag:#dengue
