id,source,type,type_id,validity_status,description,status,from_engine,created_at,updated_at,country
1268,https://163.com/,Google,3,Unofficial,https://163.com/,1,Yes,2026-07-11T08:29:14.000000Z,2026-07-11T08:29:14.000000Z,China
1185,https://1news.co.nz/,Google,3,Unofficial,https://1news.co.nz/,1,Yes,2026-05-28T08:30:23.000000Z,2026-05-28T08:30:23.000000Z,New Zealand
651,https://24h.com.vn/,Google,3,Unofficial,https://24h.com.vn/,1,Yes,2025-12-18T00:19:49.000000Z,2025-12-18T00:19:49.000000Z,Vietnam
1207,https://24hmoney.vn/,Google,3,Unofficial,https://24hmoney.vn/,1,Yes,2026-05-31T08:15:26.000000Z,2026-05-31T08:15:26.000000Z,Vietnam
953,https://24newshd.tv/,Google,3,Unofficial,https://24newshd.tv/,1,Yes,2026-02-21T13:22:23.000000Z,2026-02-21T13:22:23.000000Z,Pakistan
1270,https://3g.china.com/,Google,3,Unofficial,https://3g.china.com/,1,Yes,2026-07-14T08:31:33.000000Z,2026-07-14T08:31:33.000000Z,China
1131,https://4gtv.tv/,Google,3,Unofficial,https://4gtv.tv/,1,Yes,2026-05-25T08:23:24.000000Z,2026-05-25T08:23:24.000000Z,Taiwan
825,https://52hrtt.com/,Google,3,Unofficial,https://52hrtt.com/,1,Yes,2026-01-26T14:43:06.000000Z,2026-01-26T14:43:06.000000Z,China
756,https://7news.com.au/,Google,3,Unofficial,https://7news.com.au/,1,Yes,2026-01-21T11:27:01.000000Z,2026-01-21T11:27:01.000000Z,Australia
987,https://9news.com.au/,Google,3,Unofficial,https://9news.com.au/,1,Yes,2026-02-25T13:49:02.000000Z,2026-02-25T13:49:02.000000Z,Australia
1019,https://aawsat.com/,Google,3,Unofficial,https://aawsat.com/,1,Yes,2026-03-02T19:13:53.000000Z,2026-03-02T19:13:53.000000Z,Saudi Arabia
642,https://abcnews.go.com/,Google,3,Unofficial,https://abcnews.go.com/,1,Yes,2025-12-16T01:15:09.000000Z,2025-12-16T01:15:09.000000Z,United States
1290,https://aboluowang.com/,Google,3,Unofficial,https://aboluowang.com/,1,Yes,2026-07-20T08:38:57.000000Z,2026-07-20T08:38:57.000000Z,China
1035,https://adaptresearchwriting.com/,Google,3,Unofficial,https://adaptresearchwriting.com/,1,Yes,2026-03-19T11:47:12.000000Z,2026-03-19T11:47:12.000000Z,New Zealand
656,https://afamily.vn/,Google,3,Unofficial,https://afamily.vn/,1,Yes,2025-12-18T00:44:04.000000Z,2025-12-18T00:44:04.000000Z,Vietnam
1165,https://agora-web.jp/,Google,3,Unofficial,https://agora-web.jp/,1,Yes,2026-05-27T08:49:11.000000Z,2026-05-27T08:49:11.000000Z,Japan
704,https://aha.org/,Google,3,Unofficial,https://aha.org/,1,Yes,2025-12-31T01:01:20.000000Z,2025-12-31T01:01:20.000000Z,United States
1147,https://aktualtangerang.com/,Google,3,Unofficial,https://aktualtangerang.com/,1,Yes,2026-05-26T02:11:36.000000Z,2026-05-26T02:11:36.000000Z,Indonesia
1043,https://albiladdaily.com/,Google,3,Unofficial,https://albiladdaily.com/,1,Yes,2026-03-26T01:25:32.000000Z,2026-03-26T01:25:32.000000Z,Saudi Arabia
1018,https://aleqaria.com.eg/,Google,3,Unofficial,https://aleqaria.com.eg/,1,Yes,2026-03-02T19:11:48.000000Z,2026-03-02T19:11:48.000000Z,Egypt
904,https://alloranews.com/,Google,3,Unofficial,https://alloranews.com/,1,Yes,2026-02-09T03:04:56.000000Z,2026-02-09T03:04:56.000000Z,Australia
810,https://alobacsi.com/,Google,3,Unofficial,https://alobacsi.com/,1,Yes,2026-01-26T09:29:18.000000Z,2026-01-26T09:29:18.000000Z,Vietnam
736,https://alparslandiyari.com/,Google,3,Unofficial,https://alparslandiyari.com/,1,Yes,2026-01-20T13:48:40.000000Z,2026-01-20T13:48:40.000000Z,Turkey
17,https://alwatannews.net/,Local News,7,Official,Bahrain-based news portal covering Middle East and international affairs.,1,No,2025-10-13T22:27:00.000000Z,2025-10-13T22:27:00.000000Z,Bahrain
683,https://ameera.republika.co.id/,Google,3,Unofficial,https://ameera.republika.co.id/,1,Yes,2025-12-22T20:37:34.000000Z,2025-12-22T20:37:34.000000Z,Indonesia
1187,https://amp.9news.com.au/,Google,3,Unofficial,https://amp.9news.com.au/,1,Yes,2026-05-28T08:35:26.000000Z,2026-05-28T08:35:26.000000Z,Australia
1227,https://amp.baodautu.vn/,Google,3,Unofficial,https://amp.baodautu.vn/,1,Yes,2026-06-23T08:04:53.000000Z,2026-06-23T08:04:53.000000Z,Vietnam
801,https://amp.cand.com.vn/,Google,3,Unofficial,https://amp.cand.com.vn/,1,Yes,2026-01-25T21:55:17.000000Z,2026-01-25T21:55:17.000000Z,Vietnam
1082,https://amp.dw.com/,Google,3,Unofficial,https://amp.dw.com/,1,Yes,2026-05-12T00:49:28.000000Z,2026-05-12T00:49:28.000000Z,Germany
1148,https://amp.laodong.vn/,Google,3,Unofficial,https://amp.laodong.vn/,1,Yes,2026-05-26T02:14:21.000000Z,2026-05-26T02:14:21.000000Z,Vietnam
783,https://amp.modbee.com/,Google,3,Unofficial,https://amp.modbee.com/,1,Yes,2026-01-22T15:38:23.000000Z,2026-01-22T15:38:23.000000Z,United States
1077,https://amp.suara.com/,Google,3,Unofficial,https://amp.suara.com/,1,Yes,2026-05-08T00:49:49.000000Z,2026-05-08T00:49:49.000000Z,Indonesia
1050,https://amp.vtcnews.vn/,Google,3,Unofficial,https://amp.vtcnews.vn/,1,Yes,2026-04-01T02:16:31.000000Z,2026-04-01T02:16:31.000000Z,Vietnam
18,https://aninews.in/,Local News,7,Official,"Indian news agency providing political, economic, and world news updates.",1,No,2025-10-13T22:27:00.000000Z,2025-10-13T22:27:00.000000Z,India
957,https://anninhthudo.vn/,Google,3,Unofficial,https://anninhthudo.vn/,1,Yes,2026-02-23T08:35:02.000000Z,2026-02-23T08:35:02.000000Z,Vietnam
1190,https://antifakenewscenter.com/,Google,3,Unofficial,https://antifakenewscenter.com/,1,Yes,2026-05-29T00:51:16.000000Z,2026-05-29T00:51:16.000000Z,Thailand
19,https://apnews.com/,Local News,7,Official,"Associated Press (AP), global independent news agency covering worldwide news.",1,No,2025-10-13T22:27:00.000000Z,2025-10-13T22:27:00.000000Z,United States
1285,https://app.myzaker.com/,Google,3,Unofficial,https://app.myzaker.com/,1,Yes,2026-07-16T08:41:30.000000Z,2026-07-16T08:41:30.000000Z,China
1214,https://arabstoday.net/,Google,3,Unofficial,https://arabstoday.net/,1,Yes,2026-05-31T09:03:05.000000Z,2026-05-31T09:03:05.000000Z,Egypt
1142,https://artthreat.net/,Google,3,Unofficial,https://artthreat.net/,1,Yes,2026-05-25T08:28:55.000000Z,2026-05-25T08:28:55.000000Z,Canada
1235,https://aruna.lk/,Google,3,Unofficial,https://aruna.lk/,1,Yes,2026-06-23T08:59:00.000000Z,2026-06-23T08:59:00.000000Z,Sri Lanka
20,https://arynews.tv/,Local News,7,Official,"Pakistani news channel portal delivering politics, business, and breaking news.",1,No,2025-10-13T22:27:00.000000Z,2025-10-13T22:27:00.000000Z,Pakistan
1153,https://asahi.co.jp/,Google,3,Unofficial,https://asahi.co.jp/,1,Yes,2026-05-26T08:40:58.000000Z,2026-05-26T08:40:58.000000Z,Japan
21,https://asianews.network/,Local News,7,Official,Alliance of Asian media outlets providing regional news and insights.,1,No,2025-10-13T22:27:00.000000Z,2025-10-13T22:27:00.000000Z,Singapore
690,https://astroawani.com/,Google,3,Unofficial,https://astroawani.com/,1,Yes,2025-12-29T01:06:38.000000Z,2025-12-29T01:06:38.000000Z,Malaysia
22,https://au.news.yahoo.com/,Local News,7,Official,Australian edition of Yahoo News covering national and world events.,1,No,2025-10-13T22:27:00.000000Z,2025-10-13T22:27:00.000000Z,Australia
878,https://au.sports.yahoo.com/,Google,3,Unofficial,https://au.sports.yahoo.com/,1,Yes,2026-02-04T01:33:07.000000Z,2026-02-04T01:33:07.000000Z,Australia
961,https://aydinlik.com.tr/,Google,3,Unofficial,https://aydinlik.com.tr/,1,Yes,2026-02-23T19:18:24.000000Z,2026-02-23T19:18:24.000000Z,Turkey
1008,https://ayokaltim.com/,Google,3,Unofficial,https://ayokaltim.com/,1,Yes,2026-02-28T19:42:57.000000Z,2026-02-28T19:42:57.000000Z,Indonesia
735,https://azat.tv/,Google,3,Unofficial,https://azat.tv/,1,Yes,2026-01-20T12:06:59.000000Z,2026-01-20T12:06:59.000000Z,Armenia
1162,https://azernews.az/,Google,3,Unofficial,https://azernews.az/,1,Yes,2026-05-27T08:44:13.000000Z,2026-05-27T08:44:13.000000Z,Azerbaijan
23,https://babel.antaranews.com/,Local News,7,Official,Indonesian regional news portal (Bangka Belitung) under Antara News Agency.,1,No,2025-10-13T22:27:00.000000Z,2025-10-13T22:27:00.000000Z,Indonesia
1098,https://babelinsight.id/,Google,3,Unofficial,https://babelinsight.id/,1,Yes,2026-05-24T20:55:00.000000Z,2026-05-24T20:55:00.000000Z,Indonesia
1079,https://bacaini.id/,Google,3,Unofficial,https://bacaini.id/,1,Yes,2026-05-09T00:49:58.000000Z,2026-05-09T00:49:58.000000Z,Indonesia
1013,https://bacninhtv.vn/,Google,3,Unofficial,https://bacninhtv.vn/,1,Yes,2026-03-02T08:34:12.000000Z,2026-03-02T08:34:12.000000Z,Vietnam
24,https://baguio.bomboradyo.com/,Local News,7,Official,"Local Philippine radio station site (Baguio), offering news and community updates.",1,No,2025-10-13T22:27:00.000000Z,2025-10-13T22:27:00.000000Z,Philippines
25,https://baguioheraldexpressonline.com/,Local News,7,Official,"Philippine online news site focused on Northern Luzon, Baguio region.",1,No,2025-10-13T22:27:00.000000Z,2025-10-13T22:27:00.000000Z,Philippines
662,https://bali.antaranews.com/,Google,3,Unofficial,https://bali.antaranews.com/,1,Yes,2025-12-18T01:37:56.000000Z,2025-12-18T01:37:56.000000Z,Indonesia
26,https://bali.idntimes.com/,Local News,7,Official,"Indonesian lifestyle and news portal (IDN Times, Bali edition).",1,No,2025-10-13T22:27:00.000000Z,2025-10-13T22:27:00.000000Z,Indonesia
27,https://bali.tribunnews.com/,Local News,7,Official,Indonesian local news portal (Bali) under Tribunnews network.,1,No,2025-10-13T22:27:00.000000Z,2025-10-13T22:27:00.000000Z,Indonesia
28,https://baliexpress.jawapos.com/,Local News,7,Official,Bali edition of Jawa Pos covering regional and national news.,1,No,2025-10-13T22:27:00.000000Z,2025-10-13T22:27:00.000000Z,Indonesia
29,https://baliportalnews.com/,Local News,7,Official,"Bali-based news site covering tourism, local news, and lifestyle.",1,No,2025-10-13T22:27:00.000000Z,2025-10-13T22:27:00.000000Z,Indonesia
30,https://balitribune.co.id/,Local News,7,Official,Bali Tribune online newspaper providing local and national updates.,1,No,2025-10-13T22:27:00.000000Z,2025-10-13T22:27:00.000000Z,Indonesia
31,https://bandung.kompas.com/,Local News,7,Official,Local Indonesian news portal (Bandung) under Kompas.com network.,1,No,2025-10-13T22:27:00.000000Z,2025-10-13T22:27:00.000000Z,Indonesia
32,https://bangaloremirror.indiatimes.com/,Local News,7,Official,"Indian local edition of Times Group, focused on Bangalore city news.",1,No,2025-10-13T22:27:00.000000Z,2025-10-13T22:27:00.000000Z,India
33,https://bangla.bdnews24.com/,Local News,7,Official,Bangladeshi news portal in Bangla language under bdnews24.com.,1,No,2025-10-13T22:27:00.000000Z,2025-10-13T22:27:00.000000Z,Bangladesh
1293,https://bangla.thedailystar.net/,Google,3,Unofficial,https://bangla.thedailystar.net/,1,Yes,2026-08-03T10:13:45.000000Z,2026-08-03T10:13:45.000000Z,Bangladesh
34,https://banjarmasin.tribunnews.com/,Local News,7,Official,Indonesian local news portal (Banjarmasin) under Tribunnews network.,1,No,2025-10-13T22:27:00.000000Z,2025-10-13T22:27:00.000000Z,Indonesia
1081,https://banten.akurat.co/,Google,3,Unofficial,https://banten.akurat.co/,1,Yes,2026-05-11T02:10:51.000000Z,2026-05-11T02:10:51.000000Z,Indonesia
35,https://bantenraya.co/,Local News,7,Official,Regional Indonesian news site covering Banten Province.,1,No,2025-10-13T22:27:00.000000Z,2025-10-13T22:27:00.000000Z,Indonesia
36,https://banyumas.viva.co.id/,Local News,7,Official,"Regional edition of Viva.co.id covering Banyumas, Indonesia.",1,No,2025-10-13T22:27:00.000000Z,2025-10-13T22:27:00.000000Z,Indonesia
1085,https://baobacninhtv.vn/,Google,3,Unofficial,https://baobacninhtv.vn/,1,Yes,2026-05-13T02:12:37.000000Z,2026-05-13T02:12:37.000000Z,Vietnam
37,https://baobinhdinh.vn/,Local News,7,Official,Vietnamese provincial online newspaper covering Bình Định province.,1,No,2025-10-13T22:27:00.000000Z,2025-10-13T22:27:00.000000Z,Vietnam
858,https://baocantho.com.vn/,Google,3,Unofficial,https://baocantho.com.vn/,1,Yes,2026-02-01T21:03:12.000000Z,2026-02-01T21:03:12.000000Z,Vietnam
38,https://baochinhphu.vn/,Official Government Sites,4,Official,Official Vietnamese Government News Portal publishing state updates and policies.,1,No,2025-10-13T22:27:00.000000Z,2025-10-13T22:27:00.000000Z,Vietnam
1100,https://baodaklak.vn/,Google,3,Unofficial,https://baodaklak.vn/,1,Yes,2026-05-24T21:02:38.000000Z,2026-05-24T21:02:38.000000Z,Vietnam
646,https://baodautu.vn/,Google,3,Unofficial,https://baodautu.vn/,1,Yes,2025-12-16T20:44:11.000000Z,2025-12-16T20:44:11.000000Z,Vietnam
39,https://baodongnai.com.vn/,Local News,7,Official,Vietnamese regional news portal covering Đồng Nai province.,1,No,2025-10-13T22:27:00.000000Z,2025-10-13T22:27:00.000000Z,Vietnam
1057,https://baodongthap.vn/,Google,3,Unofficial,https://baodongthap.vn/,1,Yes,2026-04-13T00:03:45.000000Z,2026-04-13T00:03:45.000000Z,Vietnam
654,https://baogialai.com.vn/,Google,3,Unofficial,https://baogialai.com.vn/,1,Yes,2025-12-18T00:34:24.000000Z,2025-12-18T00:34:24.000000Z,Vietnam
40,https://baohaiduong.vn/,Local News,7,Official,Vietnamese regional online newspaper focused on Hải Dương province.,1,No,2025-10-13T22:27:00.000000Z,2025-10-13T22:27:00.000000Z,Vietnam
1067,https://baohatinh.vn/,Google,3,Unofficial,https://baohatinh.vn/,1,Yes,2026-04-29T02:38:26.000000Z,2026-04-29T02:38:26.000000Z,Vietnam
973,https://baohiemxahoi.gov.vn/,Google,3,Unofficial,https://baohiemxahoi.gov.vn/,1,Yes,2026-02-24T01:28:29.000000Z,2026-02-24T01:28:29.000000Z,Vietnam
875,https://baokhanhhoa.vn/,Google,3,Unofficial,https://baokhanhhoa.vn/,1,Yes,2026-02-03T20:52:42.000000Z,2026-02-03T20:52:42.000000Z,Vietnam
751,https://baolangson.vn/,Google,3,Unofficial,https://baolangson.vn/,1,Yes,2026-01-21T08:10:55.000000Z,2026-01-21T08:10:55.000000Z,Vietnam
917,https://baolaocai.vn/,Google,3,Unofficial,https://baolaocai.vn/,1,Yes,2026-02-12T02:09:14.000000Z,2026-02-12T02:09:14.000000Z,Vietnam
41,https://baomoi.com/,Local News,7,Official,Vietnamese online news aggregator and portal covering various local and international topics.,1,No,2025-10-16T19:00:00.000000Z,2025-10-16T19:00:00.000000Z,Vietnam
42,https://baophapluat.vn/,Local News,7,Official,"Vietnamese online newspaper focusing on legal, political, and social news.",1,No,2025-10-16T19:00:00.000000Z,2025-10-16T19:00:00.000000Z,Vietnam
1039,https://baophutho.vn/,Google,3,Unofficial,https://baophutho.vn/,1,Yes,2026-03-24T01:06:34.000000Z,2026-03-24T01:06:34.000000Z,Vietnam
