Source Name,Country,Type,Frequency,URL
NetEase,China,web,interval:120,https://163.com/
1news,New Zealand,web,interval:120,https://1news.co.nz/
24h,Vietnam,web,interval:120,https://24h.com.vn/
24hmoney,Vietnam,web,interval:120,https://24hmoney.vn/
24newshd,Pakistan,web,interval:120,https://24newshd.tv/
China.com,China,web,interval:120,https://3g.china.com/
4gtv,Taiwan,web,interval:120,https://4gtv.tv/
52hrtt,China,web,interval:120,https://52hrtt.com/
7news,Australia,web,interval:120,https://7news.com.au/
9news,Australia,web,interval:120,https://9news.com.au/
Aawsat,Saudi Arabia,web,interval:120,https://aawsat.com/
ABC News,United States,web,interval:120,https://abcnews.go.com/
Aboluowang,China,web,interval:120,https://aboluowang.com/
Adaptresearchwriting,New Zealand,web,interval:120,https://adaptresearchwriting.com/
Afamily,Vietnam,web,interval:120,https://afamily.vn/
Agora Web,Japan,web,interval:120,https://agora-web.jp/
Aha,United States,web,interval:120,https://aha.org/
Aktualtangerang,Indonesia,web,interval:120,https://aktualtangerang.com/
Albiladdaily,Saudi Arabia,web,interval:120,https://albiladdaily.com/
Aleqaria,Egypt,web,interval:120,https://aleqaria.com.eg/
Alloranews,Unknown,web,interval:120,https://alloranews.com/
Alobacsi,Vietnam,web,interval:120,https://alobacsi.com/
Alparslandiyari,Turkey,web,interval:120,https://alparslandiyari.com/
Alwatannews,Bahrain,web,interval:120,https://alwatannews.net/
Republika — Ameera,Indonesia,web,interval:120,https://ameera.republika.co.id/
Modbee,United States,web,interval:120,https://amp.modbee.com/
Vtcnews,Vietnam,web,interval:120,https://amp.vtcnews.vn/
Aninews,India,web,interval:120,https://aninews.in/
Anninhthudo,Vietnam,web,interval:120,https://anninhthudo.vn/
Antifakenewscenter,Thailand,web,interval:120,https://antifakenewscenter.com/
Associated Press,United States,web,interval:120,https://apnews.com/
Myzaker,China,web,interval:120,https://app.myzaker.com/
Arabstoday,International,web,interval:120,https://arabstoday.net/
Artthreat,Canada,web,interval:120,https://artthreat.net/
Aruna,Sri Lanka,web,interval:120,https://aruna.lk/
Arynews,Pakistan,web,interval:120,https://arynews.tv/
Asahi,Japan,web,interval:120,https://asahi.co.jp/
Asianews,Regional,web,interval:120,https://asianews.network/
Astro Awani,Malaysia,web,interval:120,https://astroawani.com/
Yahoo News,Australia,web,interval:120,https://au.news.yahoo.com/
Yahoo News,Australia,web,interval:120,https://au.sports.yahoo.com/
Aydinlik,Turkey,web,interval:120,https://aydinlik.com.tr/
Ayokaltim,Indonesia,web,interval:120,https://ayokaltim.com/
Azat,Turkey,web,interval:120,https://azat.tv/
Azernews,Azerbaijan,web,interval:120,https://azernews.az/
Antara News — Babel,Indonesia,web,interval:120,https://babel.antaranews.com/
Babelinsight,Indonesia,web,interval:120,https://babelinsight.id/
Bacaini,Indonesia,web,interval:120,https://bacaini.id/
Bacninhtv,Vietnam,web,interval:120,https://bacninhtv.vn/
Bomboradyo — Baguio,Philippines,web,interval:120,https://baguio.bomboradyo.com/
Baguioheraldexpressonline,Philippines,web,interval:120,https://baguioheraldexpressonline.com/
IDN Times — Bali,Indonesia,web,interval:120,https://bali.idntimes.com/
Jawa Pos — Baliexpress,Indonesia,web,interval:120,https://baliexpress.jawapos.com/
Baliportalnews,Indonesia,web,interval:120,https://baliportalnews.com/
Balitribune,Indonesia,web,interval:120,https://balitribune.co.id/
Kompas — Bandung,Indonesia,web,interval:120,https://bandung.kompas.com/
Indiatimes — Bangaloremirror,India,web,interval:120,https://bangaloremirror.indiatimes.com/
Bdnews24 — Bangla,Bangladesh,web,interval:120,https://bangla.bdnews24.com/
Thedailystar — Bangla,Bangladesh,web,interval:120,https://bangla.thedailystar.net/
Tribunnews — Banjarmasin,Indonesia,web,interval:120,https://banjarmasin.tribunnews.com/
Akurat — Banten,Indonesia,web,interval:120,https://banten.akurat.co/
Bantenraya,Indonesia,web,interval:120,https://bantenraya.co/
Viva — Banyumas,Indonesia,web,interval:120,https://banyumas.viva.co.id/
Baobacninhtv,Vietnam,web,interval:120,https://baobacninhtv.vn/
Baobinhdinh,Vietnam,web,interval:120,https://baobinhdinh.vn/
Baocantho,Vietnam,web,interval:120,https://baocantho.com.vn/
Bao Chinh Phu,Vietnam,web,interval:60,https://baochinhphu.vn/
Baodaklak,Vietnam,web,interval:120,https://baodaklak.vn/
Baodautu,Vietnam,web,interval:120,https://baodautu.vn/
Baodongnai,Vietnam,web,interval:120,https://baodongnai.com.vn/
Baodongthap,Vietnam,web,interval:120,https://baodongthap.vn/
Baogialai,Vietnam,web,interval:120,https://baogialai.com.vn/
Baohaiduong,Vietnam,web,interval:120,https://baohaiduong.vn/
Baohatinh,Vietnam,web,interval:120,https://baohatinh.vn/
Baohiemxahoi,Vietnam,web,interval:60,https://baohiemxahoi.gov.vn/
Baokhanhhoa,Vietnam,web,interval:120,https://baokhanhhoa.vn/
Baolangson,Vietnam,web,interval:120,https://baolangson.vn/
Baolaocai,Vietnam,web,interval:120,https://baolaocai.vn/
Bao Moi,Vietnam,web,interval:120,https://baomoi.com/
Baophapluat,Vietnam,web,interval:120,https://baophapluat.vn/
Baophutho,Vietnam,web,interval:120,https://baophutho.vn/
Baoquangninh,Vietnam,web,interval:120,https://baoquangninh.vn/
