article_id,disease_label,title,content,location_name,country_code,cases,deaths,is_health_outbreak,url
ART-0001,Anthrax,[Judul Artikel Anthrax #1],[Paragraf / Teks Berita Anthrax #1],[Nama Kota/Kab/Provinsi],IDN,0,0,TRUE,https://...
ART-0002,Anthrax,[Judul Artikel Anthrax #2],[Paragraf / Teks Berita Anthrax #2],[Nama Kota/Kab/Provinsi],IDN,0,0,TRUE,https://...
ART-0003,Anthrax,[Judul Artikel Anthrax #3],[Paragraf / Teks Berita Anthrax #3],[Nama Kota/Kab/Provinsi],IDN,0,0,TRUE,https://...
ART-0004,Anthrax,[Judul Artikel Anthrax #4],[Paragraf / Teks Berita Anthrax #4],[Nama Kota/Kab/Provinsi],IDN,0,0,TRUE,https://...
ART-0005,Anthrax,[Judul Artikel Anthrax #5],[Paragraf / Teks Berita Anthrax #5],[Nama Kota/Kab/Provinsi],IDN,0,0,TRUE,https://...
ART-0006,Anthrax,[Judul Artikel Anthrax #6],[Paragraf / Teks Berita Anthrax #6],[Nama Kota/Kab/Provinsi],IDN,0,0,TRUE,https://...
ART-0007,Anthrax,[Judul Artikel Anthrax #7],[Paragraf / Teks Berita Anthrax #7],[Nama Kota/Kab/Provinsi],IDN,0,0,TRUE,https://...
ART-0008,Anthrax,[Judul Artikel Anthrax #8],[Paragraf / Teks Berita Anthrax #8],[Nama Kota/Kab/Provinsi],IDN,0,0,TRUE,https://...
ART-0009,Anthrax,[Judul Artikel Anthrax #9],[Paragraf / Teks Berita Anthrax #9],[Nama Kota/Kab/Provinsi],IDN,0,0,TRUE,https://...
ART-0010,Anthrax,[Judul Artikel Anthrax #10],[Paragraf / Teks Berita Anthrax #10],[Nama Kota/Kab/Provinsi],IDN,0,0,TRUE,https://...
ART-0011,Anthrax,[Judul Artikel Anthrax #11],[Paragraf / Teks Berita Anthrax #11],[Nama Kota/Kab/Provinsi],IDN,0,0,TRUE,https://...
ART-0012,Anthrax,[Judul Artikel Anthrax #12],[Paragraf / Teks Berita Anthrax #12],[Nama Kota/Kab/Provinsi],IDN,0,0,TRUE,https://...
ART-0013,Anthrax,[Judul Artikel Anthrax #13],[Paragraf / Teks Berita Anthrax #13],[Nama Kota/Kab/Provinsi],IDN,0,0,TRUE,https://...
ART-0014,Anthrax,[Judul Artikel Anthrax #14],[Paragraf / Teks Berita Anthrax #14],[Nama Kota/Kab/Provinsi],IDN,0,0,TRUE,https://...
ART-0015,Anthrax,[Judul Artikel Anthrax #15],[Paragraf / Teks Berita Anthrax #15],[Nama Kota/Kab/Provinsi],IDN,0,0,TRUE,https://...
ART-0016,Anthrax,[Judul Artikel Anthrax #16],[Paragraf / Teks Berita Anthrax #16],[Nama Kota/Kab/Provinsi],IDN,0,0,TRUE,https://...
ART-0017,Anthrax,[Judul Artikel Anthrax #17],[Paragraf / Teks Berita Anthrax #17],[Nama Kota/Kab/Provinsi],IDN,0,0,TRUE,https://...
ART-0018,Anthrax,[Judul Artikel Anthrax #18],[Paragraf / Teks Berita Anthrax #18],[Nama Kota/Kab/Provinsi],IDN,0,0,TRUE,https://...
ART-0019,Anthrax,[Judul Artikel Anthrax #19],[Paragraf / Teks Berita Anthrax #19],[Nama Kota/Kab/Provinsi],IDN,0,0,TRUE,https://...
ART-0020,Anthrax,[Judul Artikel Anthrax #20],[Paragraf / Teks Berita Anthrax #20],[Nama Kota/Kab/Provinsi],IDN,0,0,TRUE,https://...
ART-0021,Avian Influenza (Bird Flu),[Judul Artikel Avian Influenza (Bird Flu) #1],[Paragraf / Teks Berita Avian Influenza (Bird Flu) #1],[Nama Kota/Kab/Provinsi],IDN,0,0,TRUE,https://...
ART-0022,Avian Influenza (Bird Flu),[Judul Artikel Avian Influenza (Bird Flu) #2],[Paragraf / Teks Berita Avian Influenza (Bird Flu) #2],[Nama Kota/Kab/Provinsi],IDN,0,0,TRUE,https://...
ART-0023,Avian Influenza (Bird Flu),[Judul Artikel Avian Influenza (Bird Flu) #3],[Paragraf / Teks Berita Avian Influenza (Bird Flu) #3],[Nama Kota/Kab/Provinsi],IDN,0,0,TRUE,https://...
ART-0024,Avian Influenza (Bird Flu),[Judul Artikel Avian Influenza (Bird Flu) #4],[Paragraf / Teks Berita Avian Influenza (Bird Flu) #4],[Nama Kota/Kab/Provinsi],IDN,0,0,TRUE,https://...
ART-0025,Avian Influenza (Bird Flu),[Judul Artikel Avian Influenza (Bird Flu) #5],[Paragraf / Teks Berita Avian Influenza (Bird Flu) #5],[Nama Kota/Kab/Provinsi],IDN,0,0,TRUE,https://...
ART-0026,Avian Influenza (Bird Flu),[Judul Artikel Avian Influenza (Bird Flu) #6],[Paragraf / Teks Berita Avian Influenza (Bird Flu) #6],[Nama Kota/Kab/Provinsi],IDN,0,0,TRUE,https://...
