article_id,disease_label,title,content,location_name,country_code,cases,deaths,is_health_outbreak,url
ART-0401,Mpox (Monkeypox),[Judul Artikel Mpox (Monkeypox) #1],[Paragraf / Teks Berita Mpox (Monkeypox) #1],[Nama Kota/Kab/Provinsi],IDN,0,0,TRUE,https://...
ART-0402,Mpox (Monkeypox),[Judul Artikel Mpox (Monkeypox) #2],[Paragraf / Teks Berita Mpox (Monkeypox) #2],[Nama Kota/Kab/Provinsi],IDN,0,0,TRUE,https://...
ART-0403,Mpox (Monkeypox),[Judul Artikel Mpox (Monkeypox) #3],[Paragraf / Teks Berita Mpox (Monkeypox) #3],[Nama Kota/Kab/Provinsi],IDN,0,0,TRUE,https://...
ART-0404,Mpox (Monkeypox),[Judul Artikel Mpox (Monkeypox) #4],[Paragraf / Teks Berita Mpox (Monkeypox) #4],[Nama Kota/Kab/Provinsi],IDN,0,0,TRUE,https://...
ART-0405,Mpox (Monkeypox),[Judul Artikel Mpox (Monkeypox) #5],[Paragraf / Teks Berita Mpox (Monkeypox) #5],[Nama Kota/Kab/Provinsi],IDN,0,0,TRUE,https://...
ART-0406,Mpox (Monkeypox),[Judul Artikel Mpox (Monkeypox) #6],[Paragraf / Teks Berita Mpox (Monkeypox) #6],[Nama Kota/Kab/Provinsi],IDN,0,0,TRUE,https://...
ART-0407,Mpox (Monkeypox),[Judul Artikel Mpox (Monkeypox) #7],[Paragraf / Teks Berita Mpox (Monkeypox) #7],[Nama Kota/Kab/Provinsi],IDN,0,0,TRUE,https://...
ART-0408,Mpox (Monkeypox),[Judul Artikel Mpox (Monkeypox) #8],[Paragraf / Teks Berita Mpox (Monkeypox) #8],[Nama Kota/Kab/Provinsi],IDN,0,0,TRUE,https://...
ART-0409,Mpox (Monkeypox),[Judul Artikel Mpox (Monkeypox) #9],[Paragraf / Teks Berita Mpox (Monkeypox) #9],[Nama Kota/Kab/Provinsi],IDN,0,0,TRUE,https://...
ART-0410,Mpox (Monkeypox),[Judul Artikel Mpox (Monkeypox) #10],[Paragraf / Teks Berita Mpox (Monkeypox) #10],[Nama Kota/Kab/Provinsi],IDN,0,0,TRUE,https://...
